"cell_id","scene_id","col","row","season","url"
47345506,"tile487089_736815_736967",3284,5343,"GS","s3://***REMOVED***/planet/composite_sr/GS/tile487089_736815_736967.tif"
47307503,"tile487089_736815_736967",3285,5343,"GS","s3://***REMOVED***/planet/composite_sr/GS/tile487089_736815_736967.tif"
47294838,"tile487089_736815_736967",3286,5343,"GS","s3://***REMOVED***/planet/composite_sr/GS/tile487089_736815_736967.tif"
47307505,"tile487089_736815_736967",3287,5343,"GS","s3://***REMOVED***/planet/composite_sr/GS/tile487089_736815_736967.tif"
47345507,"tile487089_736815_736967",3288,5343,"GS","s3://***REMOVED***/planet/composite_sr/GS/tile487089_736815_736967.tif"
47345508,"tile487089_736815_736967",3289,5343,"GS","s3://***REMOVED***/planet/composite_sr/GS/tile487089_736815_736967.tif"
47294841,"tile487089_736815_736967",3280,5344,"GS","s3://***REMOVED***/planet/composite_sr/GS/tile487089_736815_736967.tif"
47282175,"tile487089_736815_736967",3281,5344,"GS","s3://***REMOVED***/planet/composite_sr/GS/tile487089_736815_736967.tif"
47282176,"tile487089_736815_736967",3282,5344,"GS","s3://***REMOVED***/planet/composite_sr/GS/tile487089_736815_736967.tif"
47294844,"tile487089_736815_736967",3283,5344,"GS","s3://***REMOVED***/planet/composite_sr/GS/tile487089_736815_736967.tif"
47345513,"tile487089_736815_736967",3284,5344,"GS","s3://***REMOVED***/planet/composite_sr/GS/tile487089_736815_736967.tif"
47294846,"tile487089_736815_736967",3285,5344,"GS","s3://***REMOVED***/planet/composite_sr/GS/tile487089_736815_736967.tif"
47307501,"tile487089_736815_736967",3286,5344,"GS","s3://***REMOVED***/planet/composite_sr/GS/tile487089_736815_736967.tif"
47269514,"tile487089_736815_736967",3287,5344,"GS","s3://***REMOVED***/planet/composite_sr/GS/tile487089_736815_736967.tif"
47269513,"tile487089_736815_736967",3288,5344,"GS","s3://***REMOVED***/planet/composite_sr/GS/tile487089_736815_736967.tif"
